topic_key,topic,group,mott6_chapters,mott6_chapter_titles,mott6_printed_pages,mott6_pdf_page_range,mott6_pages,mott6_sections,mott6_covered,shigley10_chapters,shigley10_chapter_titles,shigley10_printed_pages,shigley10_pdf_page_range,shigley10_pages,shigley10_sections,shigley10_covered,coverage,depth_note
shafts,Shaft design,Elements,12,12 Shaft Design,509,525-561,37,11,yes,7,7 Shafts and Shaft Components,351,373-422,50,8,yes,both,comparable depth (37 vs 50 pages)
shaft-hub,"Shaft/hub connections: keys, splines, pins, setscrews",Elements,11,"11 Keys, Couplings, and Seals",470,486-524,39,11,yes,7,7 Shafts and Shaft Components,351,373-422,50,8,yes,both,comparable depth (39 vs 50 pages)
couplings,Couplings and universal joints,Elements,11,"11 Keys, Couplings, and Seals",470,486-524,39,11,yes,16,"16 Clutches, Brakes, Couplings, and Flywheels",817,839-892,54,12,yes,both,comparable depth (39 vs 54 pages)
seals,Seals,Elements,11,"11 Keys, Couplings, and Seals",470,486-524,39,11,yes,,,,,0,0,no,mott6 only,single-source topic
rolling-bearings,Rolling-contact bearings,Elements,14,14 Rolling Contact Bearings,563,579-604,26,17,yes,11,11 Rolling-Contact Bearings,561,583-630,48,12,yes,both,shigley10 substantially deeper (26 vs 48 pages)
plain-bearings,"Plain bearings, journal bearings and lubrication",Elements,16,16 Plain Surface Bearings,614,630-656,27,11,yes,12,12 Lubrication and Journal Bearings,609,631-686,56,15,yes,both,shigley10 substantially deeper (27 vs 56 pages)
gear-kinematics,Gear kinematics and general gearing,Elements,8,8 Kinematics of Gears,304,320-377,58,14,yes,13,13 Gears—General,665,687-746,60,17,yes,both,comparable depth (58 vs 60 pages)
spur-gears,Spur gear design,Elements,9,9 Spur Gear Design,362,378-443,66,15,yes,14,14 Spur and Helical Gears,725,747-798,52,19,yes,both,comparable depth (66 vs 52 pages)
other-gears,"Helical, bevel and worm gearing",Elements,10,"10 Helical Gears, Bevel Gears, and Wormgearing",428,444-485,42,13,yes,15,15 Bevel and Worm Gears,777,799-838,40,9,yes,both,comparable depth (42 vs 40 pages)
flexible-drives,"Belt, chain and wire-rope drives",Elements,7,"7 Belt Drives, Chain Drives, and Wire Rope",244,260-319,60,7,yes,17,17 Flexible Mechanical Elements,871,893-946,54,7,yes,both,comparable depth (60 vs 54 pages)
springs,Springs,Elements,18,18 Springs,655,671-706,36,10,yes,10,10 Mechanical Springs,509,531-582,52,15,yes,both,comparable depth (36 vs 52 pages)
threaded-fasteners,"Screws, fasteners and bolted joints",Elements,19;20,"19 Fasteners | 20 Machine Frames, Bolted Connections, and Welded Joints",691;705,707-720;721-738,32,12,yes,8,"8 Screws, Fasteners, and the Design of Nonpermanent Joints",401,423-488,66,12,yes,both,shigley10 substantially deeper (32 vs 66 pages)
permanent-joints,"Welded, bonded and riveted joints",Elements,20,"20 Machine Frames, Bolted Connections, and Welded Joints",705,721-738,18,4,yes,9,"9 Welding, Bonding, and the Design of Permanent Joints",467,489-530,42,9,yes,both,shigley10 substantially deeper (18 vs 42 pages)
clutches-brakes,"Clutches, brakes and flywheels",Elements,22,22 Motion Control: Clutches and Brakes,749,765-793,29,16,yes,16,"16 Clutches, Brakes, Couplings, and Flywheels",817,839-892,54,12,yes,both,shigley10 substantially deeper (29 vs 54 pages)
tolerances-fits,"Tolerances, fits and interference fits",Elements,13,13 Tolerances and Fits,546,562-578,17,10,yes,1;7,1 Introduction to Mechanical Engineering Design | 7 Shafts and Shaft Components,3;351,25-62;373-422,88,26,yes,both,shigley10 substantially deeper (17 vs 88 pages)
linear-motion,Linear motion elements,Elements,17,17 Linear Motion Elements,641,657-670,14,4,yes,,,,,0,0,no,mott6 only,single-source topic
frames,Machine frames and structural members,Elements,20,"20 Machine Frames, Bolted Connections, and Welded Joints",705,721-738,18,4,yes,,,,,0,0,no,mott6 only,single-source topic
motors-controls,Electric motors and controls,System,21,21 Electric Motors and Controls,723,739-764,26,13,yes,,,,,0,0,no,mott6 only,single-source topic
power-transmission,Integrated power transmission design,System,15,15 Completion of the Design of a Power Transmission,589,605-628,24,7,yes,18,18 Power Transmission Case Study,925,947-965,19,11,yes,both,comparable depth (24 vs 19 pages)
fea,Finite-element analysis,Methods,,,,,0,0,no,19,19 Finite-Element Analysis,945,967-990,24,11,yes,shigley10 only,single-source topic
gdt,Geometric dimensioning and tolerancing,Methods,,,,,0,0,no,20,20 Geometric Dimensioning and Tolerancing,969,991-1032,42,9,yes,shigley10 only,single-source topic
design-projects,Design projects and case studies,Methods,23,23 Design Projects,778,794-796,3,2,yes,18,18 Power Transmission Case Study,925,947-965,19,11,yes,both,shigley10 substantially deeper (3 vs 19 pages)
